Fine_step Time dt scale_factor Memory%
473.0 0.00798424 1.699e-05 1.0 7.0
474.0 0.00800123 1.699e-05 1.0 7.0
475.0 0.00801822 1.699e-05 1.0 7.0
476.0 0.0080352 1.699e-05 1.0 7.1
477.0 0.00805219 1.699e-05 1.0 7.1
478.0 0.00806918 1.699e-05 1.0 7.1
479.0 0.00808617 1.699e-05 1.0 7.1
480.0 0.00810316 1.699e-05 1.0 7.2
481.0 0.00812014 1.699e-05 1.0 7.2
482.0 0.00813713 1.699e-05 1.0 7.2
483.0 0.00815412 1.699e-05 1.0 7.2
484.0 0.00817111 1.699e-05 1.0 7.2
485.0 0.00818809 1.699e-05 1.0 7.2
486.0 0.00820508 1.699e-05 1.0 7.2
487.0 0.00822207 1.699e-05 1.0 7.2
488.0 0.00823906 1.699e-05 1.0 7.3
489.0 0.00825604 1.699e-05 1.0 7.3
490.0 0.00827303 1.699e-05 1.0 7.3
491.0 0.00829002 1.699e-05 1.0 7.3
492.0 0.00830701 1.699e-05 1.0 7.3
493.0 0.008324 1.699e-05 1.0 7.3
494.0 0.00834098 1.699e-05 1.0 7.4
495.0 0.00835797 1.699e-05 1.0 7.4
496.0 0.00837496 1.699e-05 1.0 7.4
497.0 0.00839195 1.699e-05 1.0 7.4
498.0 0.00840893 1.699e-05 1.0 7.4
499.0 0.00842592 1.699e-05 1.0 7.4
500.0 0.00844291 1.699e-05 1.0 7.5
501.0 0.0084599 1.699e-05 1.0 7.5
502.0 0.00847688 1.699e-05 1.0 7.5
503.0 0.00849387 1.699e-05 1.0 7.5
504.0 0.00851086 1.699e-05 1.0 7.5
505.0 0.00852785 1.699e-05 1.0 7.5
506.0 0.00854483 1.699e-05 1.0 7.6
507.0 0.00856182 1.699e-05 1.0 7.6
508.0 0.00857881 1.699e-05 1.0 7.6
509.0 0.0085958 1.699e-05 1.0 7.6
510.0 0.00861279 1.699e-05 1.0 7.6
511.0 0.00862977 1.699e-05 1.0 7.6
512.0 0.00864676 1.699e-05 1.0 7.7
513.0 0.00866375 1.699e-05 1.0 7.7
514.0 0.00868074 1.699e-05 1.0 7.7
515.0 0.00869772 1.699e-05 1.0 7.7
516.0 0.00871471 1.699e-05 1.0 7.7
517.0 0.0087317 1.699e-05 1.0 7.7
518.0 0.00874869 1.699e-05 1.0 7.7
519.0 0.00876567 1.699e-05 1.0 7.7
520.0 0.00878266 1.699e-05 1.0 7.8
521.0 0.00879965 1.699e-05 1.0 7.8
522.0 0.00881664 1.699e-05 1.0 7.8
523.0 0.00883363 1.699e-05 1.0 7.8
