Fine_step Time dt scale_factor Memory%
423.0 0.000843057 2.123e-06 1.0 9.9
424.0 0.000845181 2.123e-06 1.0 10.0
425.0 0.000847304 2.123e-06 1.0 10.0
426.0 0.000849427 2.123e-06 1.0 10.1
427.0 0.000851551 2.123e-06 1.0 10.1
428.0 0.000853674 2.123e-06 1.0 10.2
429.0 0.000855798 2.123e-06 1.0 10.2
430.0 0.000857921 2.123e-06 1.0 10.3
431.0 0.000860045 2.123e-06 1.0 10.3
432.0 0.000862168 2.123e-06 1.0 10.5
433.0 0.000864292 2.123e-06 1.0 10.5
434.0 0.000866415 2.123e-06 1.0 10.6
435.0 0.000868539 2.123e-06 1.0 10.6
436.0 0.000870662 2.123e-06 1.0 10.7
437.0 0.000872786 2.123e-06 1.0 10.7
438.0 0.000874909 2.123e-06 1.0 10.8
439.0 0.000877032 2.123e-06 1.0 10.8
440.0 0.000879156 2.123e-06 1.0 10.9
441.0 0.000881279 2.123e-06 1.0 10.9
442.0 0.000883403 2.123e-06 1.0 11.0
443.0 0.000885526 2.123e-06 1.0 11.0
444.0 0.00088765 2.123e-06 1.0 11.1
445.0 0.000889773 2.123e-06 1.0 11.1
446.0 0.000891897 2.123e-06 1.0 11.2
447.0 0.00089402 2.123e-06 1.0 11.2
448.0 0.000896144 2.123e-06 1.0 11.3
449.0 0.000898267 2.123e-06 1.0 11.3
450.0 0.000900391 2.123e-06 1.0 11.4
451.0 0.000902514 2.123e-06 1.0 11.4
452.0 0.000904637 2.123e-06 1.0 11.5
453.0 0.000906761 2.123e-06 1.0 11.5
454.0 0.000908884 2.123e-06 1.0 11.6
455.0 0.000911008 2.123e-06 1.0 11.6
456.0 0.000913131 2.123e-06 1.0 11.7
457.0 0.000915255 2.123e-06 1.0 11.7
458.0 0.000917378 2.123e-06 1.0 11.8
459.0 0.000919502 2.123e-06 1.0 11.8
460.0 0.000921625 2.123e-06 1.0 11.9
461.0 0.000923749 2.123e-06 1.0 11.9
462.0 0.000925872 2.123e-06 1.0 11.9
463.0 0.000927996 2.123e-06 1.0 11.9
464.0 0.000930119 2.123e-06 1.0 12.0
465.0 0.000932242 2.123e-06 1.0 12.0
466.0 0.000934366 2.123e-06 1.0 12.1
467.0 0.000936489 2.123e-06 1.0 12.1
468.0 0.000938613 2.123e-06 1.0 12.2
469.0 0.000940736 2.123e-06 1.0 12.2
470.0 0.00094286 2.123e-06 1.0 12.2
471.0 0.000944983 2.123e-06 1.0 12.2
472.0 0.000947107 2.123e-06 1.0 12.3
473.0 0.00094923 2.123e-06 1.0 12.3
474.0 0.000951354 2.123e-06 1.0 12.4
475.0 0.000953477 2.123e-06 1.0 12.4
476.0 0.000955601 2.123e-06 1.0 12.4
477.0 0.000957724 2.123e-06 1.0 12.4
478.0 0.000959847 2.123e-06 1.0 12.5
479.0 0.000961971 2.123e-06 1.0 12.5
480.0 0.000964094 2.123e-06 1.0 12.6
481.0 0.000966218 2.123e-06 1.0 12.6
482.0 0.000968341 2.123e-06 1.0 12.6
483.0 0.000970465 2.123e-06 1.0 12.6
484.0 0.000972588 2.123e-06 1.0 12.7
485.0 0.000974712 2.123e-06 1.0 12.7
486.0 0.000976835 2.123e-06 1.0 12.7
487.0 0.000978959 2.123e-06 1.0 12.7
488.0 0.000981082 2.123e-06 1.0 12.8
489.0 0.000983206 2.123e-06 1.0 12.8
490.0 0.000985329 2.123e-06 1.0 12.8
491.0 0.000987452 2.123e-06 1.0 12.8
492.0 0.000989576 2.123e-06 1.0 12.8
493.0 0.000991699 2.123e-06 1.0 12.8
494.0 0.000993823 2.123e-06 1.0 12.9
495.0 0.000995946 2.123e-06 1.0 12.9
496.0 0.00099807 2.123e-06 1.0 12.9
497.0 0.00100019 2.123e-06 1.0 12.9
498.0 0.00100232 2.123e-06 1.0 12.9
499.0 0.00100444 2.123e-06 1.0 12.9
500.0 0.00100656 2.123e-06 1.0 13.0
501.0 0.00100869 2.123e-06 1.0 13.0
502.0 0.00101081 2.123e-06 1.0 13.0
503.0 0.00101293 2.123e-06 1.0 13.0
504.0 0.00101506 2.123e-06 1.0 13.0
505.0 0.00101718 2.123e-06 1.0 13.0
506.0 0.0010193 2.123e-06 1.0 13.0
507.0 0.00102143 2.123e-06 1.0 13.0
508.0 0.00102355 2.123e-06 1.0 13.0
509.0 0.00102567 2.123e-06 1.0 13.0
510.0 0.0010278 2.123e-06 1.0 13.0
511.0 0.00102992 2.123e-06 1.0 13.0
512.0 0.00103205 2.123e-06 1.0 13.0
513.0 0.00103417 2.123e-06 1.0 13.0
514.0 0.00103629 2.123e-06 1.0 13.0
515.0 0.00103842 2.123e-06 1.0 13.0
516.0 0.00104054 2.123e-06 1.0 13.0
517.0 0.00104266 2.123e-06 1.0 13.0
518.0 0.00104479 2.123e-06 1.0 13.0
519.0 0.00104691 2.123e-06 1.0 13.0
520.0 0.00104903 2.123e-06 1.0 13.0
521.0 0.00105116 2.123e-06 1.0 13.0
522.0 0.00105328 2.123e-06 1.0 12.9
523.0 0.0010554 2.123e-06 1.0 12.9
524.0 0.00105753 2.123e-06 1.0 12.9
525.0 0.00105965 2.123e-06 1.0 12.9
526.0 0.00106177 2.123e-06 1.0 12.9
527.0 0.0010639 2.123e-06 1.0 12.9
528.0 0.00106602 2.123e-06 1.0 12.8
529.0 0.00106814 2.123e-06 1.0 12.8
530.0 0.00107027 2.123e-06 1.0 12.8
531.0 0.00107239 2.123e-06 1.0 12.8
532.0 0.00107451 2.123e-06 1.0 12.7
533.0 0.00107664 2.123e-06 1.0 12.7
534.0 0.00107876 2.123e-06 1.0 12.7
535.0 0.00108088 2.123e-06 1.0 12.7
536.0 0.00108301 2.123e-06 1.0 12.6
537.0 0.00108513 2.123e-06 1.0 12.6
538.0 0.00108726 2.123e-06 1.0 12.6
539.0 0.00108938 2.123e-06 1.0 12.6
540.0 0.0010915 2.123e-06 1.0 12.5
541.0 0.00109363 2.123e-06 1.0 12.5
542.0 0.00109575 2.123e-06 1.0 12.5
543.0 0.00109787 2.123e-06 1.0 12.5
544.0 0.0011 2.123e-06 1.0 12.4
545.0 0.00110212 2.123e-06 1.0 12.4
546.0 0.00110424 2.123e-06 1.0 12.4
547.0 0.00110637 2.123e-06 1.0 12.4
548.0 0.00110849 2.123e-06 1.0 12.3
549.0 0.00111061 2.123e-06 1.0 12.3
